current_price,days_before_departure,total_duration_minutes,stops,departure_month,departure_month_sin,departure_month_cos,future_price_change_percent,future_price
1693.93,32,315,0,7,1.2246467991473532e-16,-1.0,1.0268,1711.32
124.11,283,1170,0,6,0.49999999999999994,-0.8660254037844387,7.6427,133.6
376.45,239,528,0,1,0.0,1.0,3.9318,391.25
76.35,160,1237,3,2,0.49999999999999994,0.8660254037844387,2.7069,78.42
414.97,158,1367,0,8,-0.4999999999999997,-0.8660254037844388,4.475,433.54
1900.86,314,318,0,7,1.2246467991473532e-16,-1.0,5.4164,2003.82
3073.57,31,667,0,7,1.2246467991473532e-16,-1.0,3.8274,3191.21
437.44,255,449,2,2,0.49999999999999994,0.8660254037844387,0.5142,439.69
178.97,73,810,1,7,1.2246467991473532e-16,-1.0,3.6693,185.53
1331.0,34,483,0,1,0.0,1.0,-3.9567,1278.33
1245.42,192,1711,2,2,0.49999999999999994,0.8660254037844387,-0.8558,1234.76
384.91,357,486,0,6,0.49999999999999994,-0.8660254037844387,5.0183,404.23
519.96,269,1393,2,8,-0.4999999999999997,-0.8660254037844388,3.0251,535.69
378.63,278,243,0,8,-0.4999999999999997,-0.8660254037844388,5.163,398.18
229.24,262,709,0,12,-0.5000000000000004,0.8660254037844384,3.8031,237.96
663.57,287,1260,0,11,-0.8660254037844386,0.5000000000000001,2.7295,681.68
73.41,187,1581,3,5,0.8660254037844387,-0.4999999999999998,0.3289,73.65
626.92,46,706,2,10,-1.0,-1.8369701987210297e-16,0.1678,627.97
657.29,307,1686,1,2,0.49999999999999994,0.8660254037844387,2.6806,674.91
410.05,164,1213,0,11,-0.8660254037844386,0.5000000000000001,2.8607,421.78
206.01,183,630,0,5,0.8660254037844387,-0.4999999999999998,3.4028,213.02
1154.52,135,1462,0,10,-1.0,-1.8369701987210297e-16,1.0234,1166.34
378.8,66,317,0,12,-0.5000000000000004,0.8660254037844384,0.9741,382.49
68.52,339,528,0,9,-0.8660254037844385,-0.5000000000000004,6.3619,72.88
355.33,286,1557,1,12,-0.5000000000000004,0.8660254037844384,1.3951,360.29
